Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_LEA,Geo_SCHOOL,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_T001_005,SE_T001_006,SE_T001_007,SE_T001_008,SE_T001_009,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,SE_T002_006,SE_T002_007,SE_T002_008,SE_T002_009,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005
"33","New Hampshire","New Hampshire","00","33",,,2.52360515021459,2.53521126760563,2.53125,117,36,64.5,233,71,128,178308,152374,3592,5931,9948,465,166,5832,11.8979338842975,31,47169,"0",1,2
"34","New Jersey","New Jersey","00","34",,,2.50406504065041,2.51566265060241,2.50837988826816,677,208,358.5,1353,415,716,1370676,605462,205595,139835,388009,1766,2908,27101,12.6233913395387,86,519525,"0",0,0
"35","New Mexico","New Mexico","00","35",,,2.51436031331593,2.52197802197802,2.53225806451613,192,91.5,93.5,383,182,186,334188,77686,6431,3833,206118,33379,465,6276,15.3286214953271,89,244540,"0",0,5
"36","New York","New York","00","36",,,2.50227932034811,,2.50173731758165,1207,,720,2413,,1439,2697340,1167330,462099,250784,726968,18915,6859,64385,13.1668059327345,273,1477582,"0",118,0
"37","North Carolina","North Carolina","00","37",,,2.50171115674196,2.5,2.5076071922545,731,255.5,362,1461,510,723,1553513,749543,393642,51709,271320,19036,2148,66115,15.3934749620637,173,868114,"0",188,4
"38","North Dakota","North Dakota","00","38",,,2.51980198019802,2.57692307692308,2.625,101.5,26.4615384615385,16.5,202,52,32,111757,86462,5513,1771,5527,9446,306,2732,11.0533472803347,0,34868,"0",0,0
"39","Ohio","Ohio","00","39",,,2.5035799522673,2.50717703349282,2.5,838.498806682578,418.5,525.497142857143,1676,836,1050,1702623,1190916,282339,40793,97213,2102,1401,87859,19.1925282363162,309,437728,"0",0,13
"40","Oklahoma","Oklahoma","00","40",,,2.50970873786408,,2.51754385964912,206.5,,114.5,412,,228,695092,339563,59876,14096,119766,94443,2488,64860,17.1828939988783,57,431027,"0",0,11
"41","Oregon","Oregon","00","41",,,2.50356633380884,2.5103734439834,2.51474530831099,351,120.995850622407,187,701,241,373,572470,357315,13032,23097,132201,7544,4187,35094,19.177554304103,128,272748,"0",0,28
"42","Pennsylvania","Pennsylvania","00","42",,,2.50390625,2.50581395348837,2.50678733031674,768.5,344.5,442.5,1536,688,884,1706697,1125759,248020,67005,194849,2614,1445,67005,14.7039848849193,177,795344,"0",54,14
